name,mlbam_id,april_pa,actual_hr,actual_r,actual_rbi,actual_avg,actual_ros_woba,naive_hr,naive_r,naive_rbi,naive_avg,naive_woba,rtm_hr,rtm_r,rtm_rbi,rtm_avg,rtm_woba,model_hr,model_r,model_rbi,model_avg,model_woba,signal_hr,signal_avg,signal_woba,steamer_hr,steamer_r,steamer_rbi,steamer_avg,steamer_woba,zips_hr,zips_r,zips_rbi,zips_avg,zips_woba
Aaron Judge,592450,140.0,53.0,137.0,114.0,0.331,0.43369905956112853,39.6,104.39999999999999,99.6,0.4,0.535357142857143,28.799999999999997,86.39999999999999,81.6,0.34,0.42667857142857146,28.799999999999997,85.2,80.39999999999999,0.32,0.46473,28.799999999999997,0.32,0.4275516,44.233001708984375,107.0553970336914,103.74449920654297,0.27579732961052117,0.4117942916035936,46.0,103.0,122.0,0.2804642166344294,0.4196464651267245
Shohei Ohtani,660271,125.0,55.0,146.0,102.0,0.282,0.4076601671309193,26.4,75.6,68.39999999999999,0.28,0.3924,22.8,69.6,63.599999999999994,0.264,0.3552,24.0,79.2,72.0,0.302,0.40899,24.48,0.302,0.42534960000000005,42.17380142211914,119.22799682617188,101.1675033569336,0.2796417147309067,0.39355650310445606,45.0,126.0,138.0,0.2901023890784983,0.40705542103282694
Juan Soto,665742,137.0,43.0,120.0,105.0,0.263,0.4004504504504504,12.0,61.199999999999996,48.0,0.245,0.3521897810218978,14.399999999999999,62.4,52.8,0.247,0.3350948905109489,15.6,68.39999999999999,58.8,0.27,0.37283,16.38,0.27,0.4026564,32.37160110473633,104.77429962158203,88.7925033569336,0.28341893660329126,0.41118813207245214,33.0,108.0,100.0,0.27586206896551724,0.4053689225054369
Cal Raleigh,663728,135.0,60.0,110.0,125.0,0.247,0.41153846153846163,40.8,76.8,75.6,0.235,0.3844444444444444,30.0,70.8,67.2,0.241,0.3512222222222222,22.8,64.8,60.0,0.234,0.34259,22.8,0.234,0.34259,28.227100372314453,67.28589630126953,77.06210327148438,0.22427206882945677,0.3221081270207075,28.0,63.0,80.0,0.22795698924731184,0.3274974450040001
Kyle Schwarber,656941,134.0,56.0,111.0,132.0,0.24,0.40257879656160456,37.199999999999996,79.2,72.0,0.248,0.4044776119402984,27.599999999999998,70.8,64.8,0.248,0.36123880597014923,19.2,64.8,56.4,0.238,0.37585,19.2,0.238,0.37585,37.75199890136719,98.32559967041016,81.86589813232422,0.22796890258436855,0.3560927890148108,36.0,93.0,95.0,0.22037037037037038,0.3471216087772096
Geraldo Perdomo,672695,135.0,20.0,98.0,100.0,0.29,0.3545058139534884,15.6,67.2,55.199999999999996,0.269,0.3559259259259259,16.8,64.8,56.4,0.259,0.33696296296296296,12.0,60.0,50.4,0.241,0.31363,12.0,0.241,0.31363,6.881800174713135,55.78010177612305,44.517398834228516,0.25440369311260186,0.31468247526848586,7.0,70.0,44.0,0.24813895781637718,0.314092184341005
Francisco Lindor,596019,137.0,31.0,117.0,86.0,0.267,0.2989942528735632,24.0,78.0,75.6,0.311,0.3886861313868613,21.599999999999998,70.8,67.2,0.279,0.35334306569343066,15.6,66.0,60.0,0.269,0.35269,15.6,0.269,0.3385824,26.47879981994629,94.97859954833984,77.4906997680664,0.2582898357105047,0.3418518622319568,26.0,97.0,91.0,0.25989672977624784,0.3430091829700324
Corbin Carroll,682998,142.0,31.0,107.0,84.0,0.259,0.34577205882352946,34.8,80.39999999999999,81.6,0.289,0.41056338028169015,26.4,72.0,69.6,0.269,0.3642816901408451,21.599999999999998,69.6,66.0,0.269,0.36989,21.599999999999998,0.269,0.36989,25.351200103759766,102.45989990234375,79.09860229492188,0.2642128540333363,0.3577029168076567,22.0,109.0,87.0,0.26017699115044246,0.34902407839272453
Pete Alonso,624413,137.0,38.0,87.0,126.0,0.272,0.31636636636636634,28.799999999999997,87.6,79.2,0.343,0.4733576642335767,22.8,75.6,68.39999999999999,0.295,0.39567883211678834,24.0,72.0,66.0,0.267,0.40326,24.0,0.267,0.37099920000000003,34.99610137939453,84.90879821777344,95.79550170898438,0.2389017319792839,0.3449349658095549,32.0,81.0,100.0,0.24187725631768953,0.3428263368102654
Fernando Tatis Jr.,665487,127.0,25.0,111.0,71.0,0.268,0.3376453488372093,34.8,93.6,91.2,0.358,0.4570866141732284,26.4,79.2,74.39999999999999,0.303,0.3875433070866142,24.0,73.2,69.6,0.279,0.37981,24.0,0.279,0.3494252,33.20880126953125,91.11160278320312,86.9363021850586,0.2792240192452425,0.3748403070958383,29.0,83.0,82.0,0.27505330490405117,0.37175393766827053
George Springer,543807,102.0,32.0,106.0,84.0,0.309,0.39133986928104575,10.799999999999999,69.6,56.4,0.306,0.3887254901960785,14.399999999999999,67.2,57.599999999999994,0.277,0.3533627450980392,18.0,66.0,58.8,0.254,0.33377,18.0,0.254,0.3070684,20.16830062866211,68.54840087890625,63.50339889526367,0.2453311169738726,0.32121251063018746,17.0,71.0,61.0,0.24081632653061225,0.31586658243244853
Rafael Devers,646240,149.0,35.0,99.0,109.0,0.252,0.36885714285714294,18.0,62.4,51.6,0.229,0.348993288590604,18.0,62.4,55.199999999999996,0.238,0.333496644295302,24.0,75.6,69.6,0.285,0.37407,25.200000000000003,0.285,0.40399560000000007,29.163400650024414,87.53839874267578,86.69840240478516,0.27052455615972815,0.3604144650495365,29.0,87.0,95.0,0.26678765880217786,0.35633626721228123
Junior Caminero,691406,120.0,45.0,93.0,110.0,0.264,0.34968750000000004,27.599999999999998,70.8,70.8,0.264,0.3625,22.8,67.2,64.8,0.256,0.34025,18.0,63.599999999999994,60.0,0.248,0.31378,18.0,0.248,0.31378,23.866199493408203,64.29679870605469,77.22209930419922,0.2679925783834234,0.3392862312305996,21.0,58.0,72.0,0.2570806100217865,0.32225118145255965
Elly De La Cruz,682829,135.0,22.0,102.0,86.0,0.264,0.3789705882352941,20.4,70.8,66.0,0.281,0.3474074074074074,19.2,66.0,61.199999999999996,0.264,0.3327037037037037,18.0,64.8,58.8,0.252,0.32992,18.0,0.252,0.30352640000000003,24.85219955444336,88.40689849853516,83.3270034790039,0.25456994219741075,0.3403168449000426,26.0,105.0,90.0,0.26666666666666666,0.3534369298127981
Cody Bellinger,641355,115.0,29.0,89.0,98.0,0.272,0.39424920127795526,14.399999999999999,52.8,45.6,0.204,0.2843478260869565,15.6,57.599999999999994,51.6,0.226,0.3011739130434783,14.399999999999999,63.599999999999994,55.199999999999996,0.255,0.30566,15.12,0.255,0.3301128,22.591100692749023,68.67230224609375,75.81620025634766,0.25644813807453753,0.3276133616500649,20.0,79.0,82.0,0.266,0.32878607641095703
Vladimir Guerrero Jr.,665489,130.0,23.0,96.0,84.0,0.292,0.4020114942528736,12.0,63.599999999999994,54.0,0.268,0.3523076923076923,15.6,63.599999999999994,56.4,0.258,0.33515384615384614,20.4,74.39999999999999,67.2,0.292,0.3726,21.419999999999998,0.292,0.402408,32.601200103759766,97.2323989868164,97.10449981689453,0.29907639959630766,0.3865171291287664,29.0,91.0,97.0,0.2906574394463668,0.37244494918314813
Matt Olson,621566,131.0,29.0,98.0,95.0,0.272,0.3626420454545455,16.8,62.4,50.4,0.234,0.3469465648854962,16.8,62.4,54.0,0.241,0.3324732824427481,21.599999999999998,70.8,63.599999999999994,0.268,0.38045,22.68,0.268,0.41088600000000003,32.030799865722656,86.56390380859375,94.50430297851562,0.2519811143707824,0.3552581041441622,31.0,84.0,100.0,0.2491103202846975,0.3496740982284071
Pete Crow-Armstrong,691718,123.0,31.0,91.0,95.0,0.247,0.3725552050473186,26.4,75.6,75.6,0.292,0.38536585365853665,22.8,69.6,67.2,0.27,0.3516829268292683,19.2,61.199999999999996,57.599999999999994,0.234,0.307,19.2,0.234,0.29472,13.439800262451172,52.04819869995117,53.847999572753906,0.24273838555838728,0.30283292137020656,16.0,79.0,72.0,0.2525458248472505,0.3129379212968967
Josh Naylor,647304,125.0,20.0,81.0,92.0,0.295,0.3333892617449664,18.0,76.8,68.39999999999999,0.321,0.39280000000000004,18.0,69.6,63.599999999999994,0.285,0.35540000000000005,14.399999999999999,66.0,58.8,0.27,0.3452,14.399999999999999,0.27,0.331392,21.214099884033203,69.7593002319336,79.11409759521484,0.26935037883270896,0.339613939415747,21.0,63.0,95.0,0.26717557251908397,0.33540662968980856
Trea Turner,607208,126.0,15.0,94.0,69.0,0.304,0.35774647887323946,3.5999999999999996,60.0,49.199999999999996,0.284,0.33452380952380956,10.799999999999999,61.199999999999996,52.8,0.266,0.32626190476190475,12.0,64.8,57.599999999999994,0.276,0.31873,12.0,0.276,0.31873,19.452999114990234,79.10320281982422,69.72859954833984,0.27841230808586226,0.3356599160586945,21.0,89.0,75.0,0.28363636363636363,0.34180149836028184
Kyle Tucker,663656,136.0,22.0,91.0,73.0,0.266,0.37782874617737006,28.799999999999997,79.2,72.0,0.289,0.4113970588235294,22.8,70.8,64.8,0.269,0.3646985294117647,21.599999999999998,73.2,67.2,0.284,0.38653,21.599999999999998,0.284,0.38653,26.353500366210938,79.90390014648438,83.60659790039062,0.27540480704115644,0.36948697903169125,23.0,71.0,75.0,0.2621145374449339,0.35554334315760383
Manny Machado,592518,122.0,27.0,91.0,95.0,0.275,0.3958092485549133,8.4,62.4,54.0,0.279,0.3303278688524591,13.2,62.4,55.199999999999996,0.264,0.32416393442622954,19.2,70.8,66.0,0.283,0.3641,19.584,0.283,0.378664,27.970399856567383,76.18000030517578,89.14340209960938,0.26718671506811115,0.34216329875783474,25.0,74.0,92.0,0.26268115942028986,0.3297567238410314
Vinnie Pasquantino,686469,125.0,32.0,72.0,113.0,0.264,0.3773413897280967,18.0,49.199999999999996,46.8,0.179,0.25160000000000005,18.0,56.4,52.8,0.213,0.28480000000000005,14.399999999999999,63.599999999999994,57.599999999999994,0.258,0.30668,15.12,0.258,0.3312144,22.830799102783203,73.27120208740234,79.4645004272461,0.271668513652786,0.35354446068613676,22.0,60.0,79.0,0.26371308016877637,0.344854891524701
Brent Rooker,667670,134.0,30.0,92.0,89.0,0.262,0.3770893371757925,33.6,74.39999999999999,75.6,0.258,0.35111940298507466,25.2,68.39999999999999,66.0,0.253,0.33455970149253733,20.4,69.6,66.0,0.273,0.36969,20.808,0.273,0.38447760000000003,34.073299407958984,85.34239959716797,87.0238037109375,0.2490394979213121,0.35083883977045666,37.0,76.0,101.0,0.27011494252873564,0.374503538494825
Randy Arozarena,668227,131.0,27.0,95.0,76.0,0.238,0.3663235294117647,20.4,60.0,50.4,0.208,0.3427480916030535,19.2,61.199999999999996,54.0,0.228,0.33037404580152674,14.399999999999999,63.599999999999994,54.0,0.252,0.34246,14.399999999999999,0.252,0.34246,21.642099380493164,76.47859954833984,77.13860321044922,0.24091718111084517,0.32870989971911513,20.0,81.0,72.0,0.24723247232472326,0.33274092073440553
Maikel Garcia,672580,116.0,16.0,81.0,74.0,0.286,0.36748466257668716,9.6,63.599999999999994,55.199999999999996,0.282,0.328448275862069,13.2,62.4,55.199999999999996,0.265,0.3232241379310345,10.799999999999999,60.0,52.8,0.254,0.30805,10.799999999999999,0.254,0.30805,7.640699863433838,62.20199966430664,50.34429931640625,0.2636334926965543,0.30716156446913556,7.0,81.0,59.0,0.2564102564102564,0.29665586560964585
Jarren Duran,680776,149.0,16.0,86.0,84.0,0.256,0.3649408284023669,7.199999999999999,61.199999999999996,54.0,0.281,0.3395973154362416,12.0,61.199999999999996,55.199999999999996,0.265,0.3287986577181208,15.6,67.2,61.199999999999996,0.274,0.33395,15.6,0.274,0.33395,17.71109962463379,91.64710235595703,66.73310089111328,0.2646664687399647,0.3337015979012005,18.0,89.0,77.0,0.2620689655172414,0.33543063045486693
Byron Buxton,621439,117.0,35.0,97.0,83.0,0.264,0.42105263157894735,28.799999999999997,66.0,69.6,0.239,0.3162393162393162,22.8,64.8,62.4,0.243,0.31711965811965814,19.2,62.4,58.8,0.239,0.32863,19.2,0.239,0.32863,22.16830062866211,56.97420120239258,64.1874008178711,0.23892309671914866,0.33054283758076275,19.0,59.0,54.0,0.25073746312684364,0.3487018204870678
James Wood,695578,136.0,31.0,87.0,94.0,0.256,0.36347305389221557,37.199999999999996,78.0,74.39999999999999,0.252,0.3922794117647059,27.599999999999998,70.8,66.0,0.25,0.35513970588235294,21.599999999999998,72.0,64.8,0.274,0.36431,21.599999999999998,0.274,0.36431,18.451200485229492,66.20790100097656,66.73139953613281,0.263001357396647,0.34659138880018986,21.0,82.0,78.0,0.2644787644787645,0.35146212455970466
Brice Turang,668930,134.0,18.0,97.0,81.0,0.288,0.30390879478827365,12.0,73.2,66.0,0.328,0.3761194029850746,15.6,68.39999999999999,62.4,0.288,0.3470597014925373,14.399999999999999,61.199999999999996,55.199999999999996,0.245,0.3085,14.399999999999999,0.245,0.28382,9.609299659729004,61.15520095825195,51.69269943237305,0.2550507900677201,0.30708969788713536,9.0,70.0,56.0,0.2533081285444234,0.29803151825824414
Trevor Story,596115,132.0,25.0,91.0,96.0,0.263,0.3094059405940594,20.4,64.8,63.599999999999994,0.26,0.30757575757575756,19.2,63.599999999999994,61.199999999999996,0.254,0.3127878787878788,15.6,58.8,55.199999999999996,0.235,0.30695,15.6,0.235,0.294672,12.095000267028809,48.472599029541016,48.615699768066406,0.22464636850734737,0.2910011918577188,10.0,38.0,39.0,0.23344947735191637,0.3056840101251091
Christian Yelich,592885,130.0,29.0,88.0,103.0,0.264,0.3504934210526316,21.599999999999998,62.4,55.199999999999996,0.222,0.32346153846153847,19.2,62.4,56.4,0.235,0.32073076923076926,12.0,64.8,55.199999999999996,0.271,0.33618,12.600000000000001,0.271,0.3630744,13.658499717712402,63.20130157470703,50.4906005859375,0.2672722147106859,0.3451445360155551,16.0,73.0,59.0,0.2652582159624413,0.3462666259654004
Freddie Freeman,518692,81.0,24.0,81.0,90.0,0.295,0.35337423312883437,34.8,87.6,84.0,0.319,0.4450617283950617,25.2,74.39999999999999,69.6,0.28,0.38153086419753085,20.4,79.2,73.2,0.32,0.40753,20.4,0.32,0.3912288,23.695899963378906,90.97380065917969,89.41349792480469,0.28808189593036515,0.36745415831575795,22.0,92.0,87.0,0.2962962962962963,0.3730606324121307
Gunnar Henderson,683002,97.0,17.0,85.0,68.0,0.274,0.38358433734939756,16.8,57.599999999999994,55.199999999999996,0.228,0.2907216494845361,18.0,60.0,56.4,0.238,0.30436082474226805,16.8,66.0,61.199999999999996,0.265,0.34399,17.64,0.265,0.37150920000000004,31.480100631713867,94.94309997558594,85.67620086669922,0.27569466468870196,0.3758923847054845,28.0,106.0,97.0,0.2735191637630662,0.3665678309704797
Taylor Ward,621493,119.0,36.0,86.0,103.0,0.228,0.36536231884057974,27.599999999999998,57.599999999999994,58.8,0.191,0.2798319327731093,22.8,60.0,58.8,0.219,0.29891596638655465,18.0,64.8,60.0,0.256,0.31949,18.900000000000002,0.256,0.3450492,22.167600631713867,80.72589874267578,67.79409790039062,0.2512759035487644,0.3313613251283733,20.0,69.0,69.0,0.249500998003992,0.3291072238973895
Mookie Betts,605141,125.0,20.0,95.0,82.0,0.258,0.2990353697749196,18.0,63.599999999999994,56.4,0.25,0.3276,18.0,63.599999999999994,57.599999999999994,0.249,0.3228,12.0,67.2,57.599999999999994,0.282,0.354,12.600000000000001,0.282,0.38232,27.778499603271484,102.0552978515625,83.77020263671875,0.27924612258639314,0.372275797953016,24.0,94.0,86.0,0.282,0.37545084227419634
Nico Hoerner,663538,115.0,7.0,89.0,61.0,0.297,0.33031746031746034,0.0,61.199999999999996,50.4,0.304,0.33608695652173914,8.4,61.199999999999996,54.0,0.276,0.32704347826086955,8.4,61.199999999999996,54.0,0.271,0.30512,8.4,0.271,0.30512,7.711299896240234,60.28160095214844,50.414100646972656,0.2781654621629793,0.3190734306291025,9.0,79.0,59.0,0.2753108348134991,0.316409729324378
Bo Bichette,666182,138.0,18.0,78.0,94.0,0.311,0.35790229885057473,0.0,58.8,50.4,0.297,0.3105072463768116,8.4,60.0,54.0,0.272,0.3142536231884058,14.399999999999999,67.2,62.4,0.283,0.34024,15.12,0.283,0.3674592,18.9414005279541,78.47090148925781,67.1365966796875,0.28041088741843656,0.33347544538277174,17.0,71.0,71.0,0.28599221789883267,0.3341818488661044
C.J. Abrams,682928,77.0,19.0,92.0,60.0,0.257,0.35583090379008747,28.799999999999997,74.39999999999999,76.8,0.282,0.3616883116883117,22.8,68.39999999999999,66.0,0.263,0.33984415584415584,16.8,63.599999999999994,58.8,0.249,0.31726,16.8,0.249,0.31726,19.385400772094727,80.07749938964844,61.31760025024414,0.25627484783165666,0.3237951991942606,18.0,81.0,69.0,0.2564575645756458,0.3198597696987358
Seiya Suzuki,673548,112.0,32.0,75.0,103.0,0.245,0.3387240356083086,34.8,85.2,84.0,0.313,0.4258928571428572,26.4,74.39999999999999,70.8,0.281,0.37194642857142857,21.599999999999998,73.2,68.39999999999999,0.284,0.36677,21.599999999999998,0.284,0.3374284,18.523399353027344,68.34970092773438,63.1442985534668,0.2561789064361792,0.3371963629663543,21.0,72.0,72.0,0.2668024439918534,0.3495745471942382
Michael Busch,683737,107.0,34.0,78.0,90.0,0.261,0.38405797101449274,25.2,75.6,70.8,0.293,0.40794392523364487,21.599999999999998,69.6,64.8,0.271,0.3629719626168224,15.6,62.4,55.199999999999996,0.245,0.3348,15.6,0.245,0.308016,16.558000564575195,55.40800094604492,58.197601318359375,0.23533547435661786,0.3215643325091256,22.0,81.0,74.0,0.24803149606299213,0.3362862676072698
Willy Adames,642715,137.0,30.0,94.0,87.0,0.225,0.3524767801857585,7.199999999999999,49.199999999999996,39.6,0.208,0.2762773722627737,13.2,56.4,49.199999999999996,0.228,0.29713868613138683,14.399999999999999,60.0,52.8,0.235,0.31227,14.687999999999999,0.235,0.3247608,23.55579948425293,79.16000366210938,76.12969970703125,0.24033960199331342,0.32500340463826,24.0,79.0,83.0,0.2504378283712785,0.3301156517849238
Ketel Marte,606466,32.0,28.0,87.0,72.0,0.283,0.39917763157894737,0.0,70.8,50.4,0.346,0.4171875,13.2,64.8,55.199999999999996,0.272,0.36759375,15.6,67.2,60.0,0.274,0.36544,15.6,0.274,0.36544,24.824499130249023,90.78389739990234,78.73699951171875,0.27929768192950893,0.36446660002772835,23.0,80.0,81.0,0.2714570858283433,0.35487025513640574
Riley Greene,682985,126.0,36.0,84.0,111.0,0.258,0.3804347826086957,26.4,69.6,69.6,0.261,0.32420634920634916,21.599999999999998,66.0,63.599999999999994,0.254,0.3211031746031746,16.8,64.8,60.0,0.261,0.3157,16.8,0.261,0.3157,21.575300216674805,81.23690032958984,72.6864013671875,0.26970375546560915,0.35037113932592523,20.0,77.0,71.0,0.26746506986027946,0.34783687496607285
Brandon Nimmo,607043,120.0,25.0,81.0,92.0,0.262,0.3616719242902208,27.599999999999998,62.4,62.4,0.216,0.28500000000000003,22.8,62.4,60.0,0.232,0.3015,19.2,66.0,62.4,0.257,0.33357,20.16,0.257,0.3602556,16.37540054321289,70.32949829101562,63.2672004699707,0.25305403281632355,0.3363999654573835,18.0,81.0,71.0,0.25,0.33522223917566446
Tyler Soderstrom,691016,129.0,25.0,75.0,93.0,0.276,0.3192675159235669,38.4,82.8,84.0,0.284,0.3856589147286822,28.799999999999997,73.2,70.8,0.266,0.3518294573643411,20.4,61.199999999999996,57.599999999999994,0.224,0.33323,20.4,0.224,0.31990080000000004,20.889699935913086,51.87779998779297,59.33359909057617,0.23504360140287195,0.31833362261481135,19.0,45.0,59.0,0.22409638554216868,0.29987692398740756
Steven Kwan,680757,130.0,11.0,81.0,56.0,0.272,0.3225460122699387,16.8,75.6,70.8,0.325,0.36730769230769234,16.8,68.39999999999999,63.599999999999994,0.286,0.3426538461538462,10.799999999999999,64.8,57.599999999999994,0.281,0.33036,10.799999999999999,0.281,0.33036,11.308600425720215,77.83290100097656,51.15019989013672,0.2852009826898782,0.3417756602558097,8.0,86.0,57.0,0.2846715328467153,0.3335073984749495
Jose Altuve,514888,127.0,26.0,80.0,77.0,0.265,0.36687499999999995,16.8,67.2,62.4,0.276,0.3240157480314961,18.0,64.8,60.0,0.262,0.32100787401574804,14.399999999999999,68.39999999999999,62.4,0.285,0.32367,14.399999999999999,0.285,0.32367,19.560100555419922,83.30660247802734,61.8380012512207,0.26915508206872657,0.33461717393434987,19.0,85.0,68.0,0.269449715370019,0.3342610245308106
Bryce Harper,547180,135.0,27.0,72.0,75.0,0.261,0.39545454545454545,20.4,66.0,54.0,0.234,0.3496296296296296,19.2,63.599999999999994,56.4,0.241,0.3338148148148148,18.0,73.2,63.599999999999994,0.289,0.37188,18.900000000000002,0.289,0.4016304,28.927799224853516,88.26219940185547,92.66790008544922,0.28076406966496814,0.37813052537305514,25.0,80.0,82.0,0.28482328482328484,0.37866513601448487
Nick Kurtz,701762,25.0,36.0,90.0,86.0,0.29,0.45513307984790874,0.0,48.0,44.4,0.25,0.21600000000000003,14.399999999999999,60.0,55.199999999999996,0.248,0.267,10.799999999999999,57.599999999999994,51.6,0.24,0.29128,10.799999999999999,0.24,0.29128,nan,nan,nan,nan,nan,11.0,54.0,41.0,0.25609756097560976,0.31064094440443213
Ian Happ,664023,142.0,23.0,87.0,79.0,0.243,0.3164406779661017,7.199999999999999,60.0,49.199999999999996,0.268,0.3422535211267605,13.2,62.4,54.0,0.258,0.33012676056338025,15.6,64.8,57.599999999999994,0.261,0.35137,15.6,0.261,0.35137,20.659000396728516,81.00599670410156,66.30719757080078,0.24462823071932985,0.33411338203095553,22.0,81.0,80.0,0.24954128440366974,0.34013029196235745
Jackson Chourio,694192,137.0,21.0,88.0,78.0,0.27,0.34328358208955223,24.0,69.6,72.0,0.277,0.3529197080291971,21.599999999999998,67.2,66.0,0.262,0.33545985401459855,16.8,64.8,62.4,0.265,0.31083,16.8,0.265,0.31083,27.1825008392334,90.92130279541016,78.55899810791016,0.27013468031797405,0.34173070468623873,19.0,82.0,85.0,0.2737030411449016,0.32963935725899185
William Contreras,661388,125.0,17.0,89.0,76.0,0.26,0.324685534591195,13.2,64.8,52.8,0.265,0.3456,15.6,63.599999999999994,55.199999999999996,0.256,0.3318,12.0,66.0,55.199999999999996,0.275,0.33006,12.0,0.275,0.33006,23.369600296020508,80.9032974243164,80.99720001220703,0.27492500289761534,0.3550863875405092,20.0,76.0,75.0,0.27125506072874495,0.3496390420903442
Andy Pages,681624,100.0,27.0,74.0,86.0,0.272,0.3318181818181818,33.6,81.6,82.8,0.297,0.38249999999999995,25.2,72.0,69.6,0.272,0.35024999999999995,14.399999999999999,61.199999999999996,55.199999999999996,0.247,0.30814,14.399999999999999,0.247,0.29581440000000003,7.803800106048584,24.91900062561035,25.5310001373291,0.24674494420454984,0.3261747151222594,22.0,74.0,75.0,0.24435318275154005,0.328407863230059
Spencer Torkelson,679529,131.0,31.0,82.0,78.0,0.24,0.3342622950819672,33.6,73.2,69.6,0.241,0.37709923664122136,26.4,68.39999999999999,64.8,0.244,0.3475496183206107,19.2,63.599999999999994,57.599999999999994,0.237,0.34355,19.2,0.237,0.34355,13.529600143432617,40.76570129394531,42.50210189819336,0.22234572023503113,0.31091886869006513,28.0,85.0,85.0,0.23157894736842105,0.32590256373823423
TJ Friedl,670770,134.0,14.0,82.0,53.0,0.261,0.3669724770642202,3.5999999999999996,58.8,49.199999999999996,0.277,0.31641791044776113,10.799999999999999,60.0,52.8,0.263,0.3172089552238806,9.6,58.8,50.4,0.248,0.30704,9.6,0.248,0.30704,16.20840072631836,66.15670013427734,52.356998443603516,0.2508443243832941,0.32711261265488356,12.0,53.0,56.0,0.24681933842239187,0.31771800678767514
Luis Arraez,650333,104.0,8.0,66.0,61.0,0.292,0.3216332378223496,15.6,69.6,66.0,0.298,0.3350961538461539,16.8,66.0,61.199999999999996,0.273,0.32654807692307697,8.4,68.39999999999999,61.199999999999996,0.31,0.31632,8.82,0.31,0.34162560000000003,8.869000434875488,77.60749816894531,54.14569854736328,0.3077721677174587,0.3340158005247657,7.0,77.0,61.0,0.30847457627118646,0.3272017795758642
