player_name,mlbam_id,year,signal,luck_score,era_actual,fip_actual,xera_actual,predicted_direction,actual_era_change,in_eval,correct
"Wainwright, Adam",425794,2022,Neutral,0.0257,4.1,3.48,4.85,,-1.15,False,
"Greinke, Zack",425844,2022,Sell high,-0.2374,2.86,3.55,6.17,DECLINED,2.31,True,True
"Verlander, Justin",434378,2022,Slight sell,-0.1372,2.08,2.7,2.0,DECLINED,0.54,True,True
"Kluber, Corey",446372,2022,Slight sell,-0.1104,2.84,3.1,4.35,DECLINED,1.9,True,True
"Hill, Rich",448179,2022,Neutral,0.0835,6.3,4.1,6.05,,-1.88,False,
"Morton, Charlie",450203,2022,Neutral,0.0399,6.5,5.43,6.48,,-2.59,False,
"Scherzer, Max",453286,2022,Neutral,0.0,1.82,1.92,1.38,,0.62,False,
"Carrasco, Carlos",471911,2022,Neutral,0.1077,3.42,2.53,3.17,,-0.43,False,
"Kershaw, Clayton",477132,2022,Neutral,0.0163,1.69,1.71,0.94,,1.67,False,
"Quintana, Jose",500779,2022,Neutral,-0.0404,3.63,3.86,4.73,,-0.03,False,
"Archer, Chris",502042,2022,Neutral,-0.0242,4.08,5.87,5.14,,0.2,False,
"Gibson, Kyle",502043,2022,Sell high,-0.1534,3.18,3.92,3.56,DECLINED,1.49,True,True
"Darvish, Yu",506433,2022,Neutral,0.0532,4.11,3.65,4.06,,-1.43,False,
"Bumgarner, Madison",518516,2022,Sell high,-0.2341,1.95,3.71,2.05,DECLINED,3.3,True,True
"Kelly, Merrill",518876,2022,Slight sell,-0.113,1.41,1.82,2.71,DECLINED,2.15,True,True
"Pérez, Martín",527048,2022,Neutral,0.0593,2.61,2.28,1.76,,0.03,False,
"Castellanos, Humberto",528748,2022,Neutral,0.3299,5.74,2.97,2.57,,-0.59,False,
"Anderson, Tyler",542881,2022,Neutral,-0.05,2.55,2.82,3.61,,0.03,False,
"Cole, Gerrit",543037,2022,Neutral,0.0,2.93,3.5,3.77,,0.29,False,
"Eovaldi, Nathan",543135,2022,Slight sell,-0.1168,3.12,4.48,4.01,DECLINED,2.77,True,True
"Hendricks, Kyle",543294,2022,Neutral,0.0,6.28,6.55,6.8,,-1.75,False,
"Lyles, Jordan",543475,2022,Neutral,0.0,5.11,5.21,5.08,,-0.59,False,
"Lorenzen, Michael",547179,2022,Neutral,-0.0082,3.6,4.0,3.45,,1.44,False,
"Stripling, Ross",548389,2022,Neutral,0.1195,3.38,2.23,3.1,,0.17,False,
"Wheeler, Zack",554430,2022,Neutral,0.1396,4.34,3.15,3.81,,-1.72,False,
"Corbin, Patrick",571578,2022,Buy low,0.4124,7.36,3.43,5.76,IMPROVED,-0.64,True,True
"Matz, Steven",571927,2022,Buy low,0.2287,4.07,2.07,3.21,IMPROVED,0.97,True,False
"Mikolas, Miles",571945,2022,Sell high,-0.4905,1.26,3.16,1.58,DECLINED,2.27,True,True
"Stroman, Marcus",573186,2022,Neutral,0.075,6.98,4.96,5.78,,-3.9,False,
"Kikuchi, Yusei",579328,2022,Neutral,0.0,5.89,6.26,6.28,,-1.06,False,
"Gausman, Kevin",592332,2022,Neutral,0.1836,2.37,1.29,2.22,,1.69,False,
"Ray, Robbie",592662,2022,Neutral,0.0425,4.29,3.86,4.44,,-0.01,False,
"Smyly, Drew",592767,2022,Neutral,0.0,4.09,4.65,4.44,,1.4,False,
"Syndergaard, Noah",592789,2022,Neutral,-0.022,2.05,2.15,1.19,,2.36,False,
"Taillon, Jameson",592791,2022,Neutral,0.0,3.38,3.69,3.44,,0.31,False,
"Velasquez, Vince",592826,2022,Neutral,0.0315,4.87,3.99,5.93,,1.1,False,
"Montas, Frankie",593423,2022,Neutral,0.0,3.6,3.57,2.98,,-0.12,False,
"Gonzales, Marco",594835,2022,Neutral,0.1457,7.2,5.05,3.72,,-3.76,False,
"Peters, Dillon",596071,2022,Sell high,-0.3181,0.6,2.7,3.64,DECLINED,6.25,True,True
"Gomber, Austin",596295,2022,Neutral,-0.0672,3.96,4.86,5.24,,2.35,False,
"Pivetta, Nick",601713,2022,Neutral,-0.0422,7.08,6.2,8.19,,-3.68,False,
"Bassitt, Chris",605135,2022,Slight sell,-0.0714,3.14,3.62,3.86,DECLINED,0.8,True,True
"Bundy, Dylan",605164,2022,Neutral,0.0042,3.0,2.96,1.83,,2.89,False,
"Davies, Zach",605200,2022,Neutral,0.0,4.91,4.92,4.21,,-0.69,False,
"Houser, Adrian",605288,2022,Slight sell,-0.1111,1.98,2.73,2.91,DECLINED,5.19,True,True
"Musgrove, Joe",605397,2022,Neutral,0.2628,4.34,2.76,3.88,,-1.72,False,
"Nola, Aaron",605400,2022,Neutral,0.0154,3.38,3.32,0.94,,-0.41,False,
"Thompson, Zach",605507,2022,Neutral,0.1684,9.95,5.84,6.87,,-6.03,False,
"Woodruff, Brandon",605540,2022,Neutral,0.031,3.86,3.44,3.96,,-0.98,False,
"Rodón, Carlos",607074,2022,Neutral,0.0449,1.17,0.84,0.61,,2.34,False,
"Fedde, Erick",607200,2022,Neutral,0.0197,4.43,3.91,4.31,,0.01,False,
"Martinez, Nick",607259,2022,Slight sell,-0.0998,4.38,6.22,6.12,DECLINED,-0.16,True,False
"Freeland, Kyle",607536,2022,Buy low,0.1332,4.68,3.34,4.25,IMPROVED,-0.38,True,True
"Fried, Max",608331,2022,Neutral,-0.0139,3.21,2.99,4.13,,-0.84,False,
"Giolito, Lucas",608337,2022,Neutral,0.0828,4.5,3.16,5.16,,0.97,False,
"Irvin, Cole",608344,2022,Slight sell,-0.1207,3.38,4.35,4.5,DECLINED,-0.25,True,False
"Wacha, Michael",608379,2022,Sell high,-0.1647,3.33,5.36,5.2,DECLINED,0.11,True,True
"Márquez, Germán",608566,2022,Neutral,0.0481,5.13,4.2,4.91,,0.59,False,
"Quantrill, Cal",615698,2022,Sell high,-0.1682,3.65,4.11,6.13,DECLINED,1.01,True,True
"Eflin, Zach",621107,2022,Neutral,0.2034,3.91,2.27,2.22,,0.62,False,
"Buehler, Walker",621111,2022,Slight sell,-0.1311,3.72,4.34,4.78,DECLINED,1.45,True,True
"Blackburn, Paul",621112,2022,Neutral,-0.044,1.99,2.0,2.77,,2.48,False,
"Berríos, José",621244,2022,Sell high,-0.3499,2.79,4.34,7.32,DECLINED,1.86,True,True
"Hearn, Taylor",621368,2022,Neutral,0.1032,7.45,4.7,6.59,,-2.72,False,
"Wood, Alex",622072,2022,Neutral,0.1399,6.45,3.77,6.93,,-2.61,False,
"Senzatela, Antonio",622608,2022,Neutral,0.0122,3.79,3.63,6.26,,1.5,False,
"Severino, Luis",622663,2022,Neutral,0.0,2.42,3.1,1.44,,0.72,False,
"Hernández, Elieser",622694,2022,Neutral,0.0,5.57,5.62,3.29,,1.53,False,
"Flexen, Chris",623167,2022,Neutral,-0.0362,4.55,4.83,6.41,,-1.22,False,
"Suarez, Ranger",624133,2022,Neutral,0.0184,4.12,4.64,3.74,,-0.69,False,
"Thompson, Keegan",624522,2022,Slight sell,-0.1042,0.93,2.43,1.42,DECLINED,3.78,True,True
"Urías, Julio",628711,2022,Neutral,0.0369,5.4,5.1,4.49,,-2.29,False,
"Crowe, Wil",640444,2022,Neutral,-0.0457,0.87,1.79,1.1,,3.4,False,
"Manaea, Sean",640455,2022,Neutral,-0.0633,2.91,3.31,3.8,,1.82,False,
"López, Pablo",641154,2022,Slight sell,-0.1139,1.69,2.24,3.16,DECLINED,2.35,True,True
"Alexander, Tyler",641302,2022,Neutral,0.1036,7.16,4.88,4.8,,-2.6,False,
"Cortes, Nestor",641482,2022,Neutral,0.0768,1.61,1.31,0.19,,1.05,False,
"Dunning, Dane",641540,2022,Neutral,0.0368,4.33,3.58,4.88,,0.11,False,
"Hudson, Dakota",641712,2022,Sell high,-0.2898,2.84,4.42,4.3,DECLINED,1.45,True,True
"Keller, Brad",641745,2022,Neutral,0.0314,4.34,4.07,3.83,,0.77,False,
"Kuhl, Chad",641771,2022,Sell high,-0.259,1.93,3.66,2.8,DECLINED,4.18,True,True
"Lauer, Eric",641778,2022,Neutral,-0.0048,2.31,2.5,2.45,,2.68,False,
"Mahle, Tyler",641816,2022,Buy low,0.4667,5.54,2.33,3.27,IMPROVED,-2.02,True,True
"Peralta, Freddy",642547,2022,Buy low,0.4527,6.14,2.37,4.25,IMPROVED,-2.99,True,True
"Alcantara, Sandy",645261,2022,Neutral,-0.0168,1.88,3.23,2.09,,0.58,False,
"Civale, Aaron",650644,2022,Neutral,0.2784,10.19,4.63,3.93,,-6.46,False,
"Cease, Dylan",656302,2022,Neutral,0.0,2.08,2.5,0.9,,0.34,False,
"Houck, Tanner",656557,2022,Sell high,-0.2504,1.82,3.55,4.77,DECLINED,2.2,True,True
"Keller, Mitch",656605,2022,Buy low,0.1583,7.29,4.24,4.29,IMPROVED,-3.65,True,True
"Kopech, Michael",656629,2022,Neutral,0.0,2.66,3.15,3.3,,1.15,False,
"Montgomery, Jordan",656756,2022,Slight sell,-0.0897,2.25,3.0,2.93,DECLINED,1.63,True,True
"Rasmussen, Drew",656876,2022,Neutral,-0.0537,2.95,2.63,4.8,,0.62,False,
"Steele, Justin",657006,2022,Neutral,0.109,5.4,3.86,4.16,,-1.13,False,
"Watkins, Spenser",657093,2022,Slight sell,-0.1109,3.98,5.12,4.62,DECLINED,0.8,True,True
"Wright, Kyle",657140,2022,Neutral,0.0117,0.96,0.89,0.71,,2.35,False,
"Webb, Logan",657277,2022,Neutral,0.0474,3.0,2.8,2.58,,-0.14,False,
"Ryan, Joe",657746,2022,Sell high,-0.2819,1.19,2.84,2.61,DECLINED,3.6,True,True
"Ohtani, Shohei",660271,2022,Neutral,0.2114,3.72,2.12,2.41,,-1.23,False,
"Suarez, José",660761,2022,Neutral,-0.0127,6.1,5.76,6.44,,-2.01,False,
"McKenzie, Triston",663474,2022,Neutral,0.1832,3.79,2.47,2.57,,-0.59,False,
"McClanahan, Shane",663556,2022,Neutral,0.1054,2.93,2.35,2.74,,-1.01,False,
"Lynch IV, Daniel",663738,2022,Neutral,-0.0425,3.92,5.23,5.21,,2.06,False,
"Sandoval, Patrick",663776,2022,Neutral,-0.0412,1.86,2.43,1.66,,2.62,False,
"Gonsolin, Tony",664062,2022,Neutral,0.0,3.0,3.15,3.24,,-0.4,False,
"Brubaker, JT",664141,2022,Neutral,0.0659,6.08,4.71,4.58,,-1.69,False,
"Valdez, Framber",664285,2022,Neutral,0.0,2.75,3.2,2.63,,0.2,False,
"Urquidy, José",664353,2022,Neutral,0.0078,4.74,4.64,6.43,,-1.19,False,
"Anderson, Ian",666120,2022,Neutral,0.0,4.03,5.43,3.49,,0.15,False,
"Lodolo, Nick",666157,2022,Neutral,0.1531,5.3,3.8,3.89,,-1.39,False,
"Manoah, Alek",666201,2022,Sell high,-0.1706,1.23,2.73,1.55,DECLINED,1.88,True,True
"Plesac, Zach",668676,2022,Sell high,-0.1703,3.42,4.03,5.66,DECLINED,1.24,True,True
"Gallen, Zac",668678,2022,Slight sell,-0.0897,0.96,2.19,1.81,DECLINED,2.68,True,True
"Greene, Hunter",668881,2022,Neutral,-0.0131,4.84,6.46,5.14,,0.26,False,
"Gore, MacKenzie",669022,2022,Neutral,0.0196,3.5,3.1,3.84,,1.39,False,
"Wilson, Bryse",669060,2022,Neutral,0.0,4.74,4.94,6.02,,3.34,False,
"Zimmermann, Bruce",669145,2022,Neutral,0.049,4.03,3.06,4.79,,3.25,False,
"Burnes, Corbin",669203,2022,Sell high,-0.2113,1.72,2.84,1.68,DECLINED,0.93,True,True
"Gilbert, Logan",669302,2022,Slight sell,-0.1277,1.78,2.78,4.02,DECLINED,1.81,True,True
"Wells, Tyler",669330,2022,Neutral,-0.0159,4.41,4.32,4.77,,-0.91,False,
"Skubal, Tarik",669373,2022,Buy low,0.3644,4.21,1.27,3.17,IMPROVED,-0.22,True,True
"Rogers, Trevor",669432,2022,Buy low,0.1559,4.09,2.92,3.2,IMPROVED,2.07,True,False
"Bieber, Shane",669456,2022,Neutral,0.0,3.06,3.19,3.66,,0.63,False,
"Detmers, Reid",672282,2022,Neutral,0.0,3.86,4.2,4.51,,-0.57,False,
"Adon, Joan",672851,2022,Neutral,0.0381,6.07,5.16,7.08,,1.51,False,
"Whitlock, Garrett",676477,2022,Slight sell,-0.0965,1.08,2.2,0.71,DECLINED,3.06,True,True
"Ashby, Aaron",676879,2022,Neutral,0.0277,4.42,3.7,5.09,,0.9,False,
"Garcia, Luis",677651,2022,Neutral,0.0363,3.65,4.32,2.44,,0.46,False,
"Gray, Josiah",680686,2022,Neutral,0.0376,5.4,4.39,5.59,,-0.49,False,
"Greinke, Zack",425844,2023,Neutral,0.0474,7.2,5.9,6.38,,-2.39,False,
"Kluber, Corey",446372,2023,Neutral,-0.026,4.79,5.28,3.67,,3.13,False,
"Hill, Rich",448179,2023,Neutral,-0.0246,4.78,5.1,6.05,,0.62,False,
"Morton, Charlie",450203,2023,Slight sell,-0.0927,3.38,3.88,5.0,DECLINED,0.63,True,True
"Lynn, Lance",458681,2023,Neutral,0.1249,7.33,5.03,5.42,,-0.74,False,
"Kershaw, Clayton",477132,2023,Neutral,0.0,2.58,2.71,2.03,,0.45,False,
"Miley, Wade",489119,2023,Sell high,-0.2323,1.88,3.1,3.82,DECLINED,1.67,True,True
"Gibson, Kyle",502043,2023,Neutral,-0.0383,3.38,4.26,4.22,,1.17,False,
"Cobb, Alex",502171,2023,Neutral,0.0068,2.7,2.65,3.63,,0.58,False,
"Darvish, Yu",506433,2023,Neutral,0.0,3.07,3.24,2.83,,1.63,False,
"Kelly, Merrill",518876,2023,Slight sell,-0.0793,2.89,3.67,4.64,DECLINED,0.89,True,True
"Sale, Chris",519242,2023,Buy low,0.427,7.14,3.96,4.74,IMPROVED,-4.68,True,True
"Pérez, Martín",527048,2023,Slight sell,-0.1134,3.0,3.92,4.02,DECLINED,3.59,True,True
"Anderson, Tyler",542881,2023,Neutral,0.0,5.13,5.95,5.5,,-0.32,False,
"Cole, Gerrit",543037,2023,Sell high,-0.1567,1.07,1.94,2.24,DECLINED,2.28,True,True
"DeSclafani, Anthony",543101,2023,Sell high,-0.1611,3.0,3.33,4.61,DECLINED,3.24,True,True
"Eovaldi, Nathan",543135,2023,Buy low,0.7359,4.21,1.72,2.22,IMPROVED,-2.1,True,True
"Gray, Sonny",543243,2023,Sell high,-0.2301,0.77,1.79,2.2,DECLINED,3.02,True,True
"Lyles, Jordan",543475,2023,Neutral,0.0465,6.31,5.88,5.62,,-0.81,False,
"Stripling, Ross",548389,2023,Neutral,0.0,6.46,7.34,7.18,,-1.69,False,
"Wheeler, Zack",554430,2023,Neutral,0.4394,3.9,1.99,2.67,,-0.25,False,
"Boyd, Matthew",571510,2023,Neutral,0.0,4.68,4.74,3.81,,0.92,False,
"Corbin, Patrick",571578,2023,Neutral,0.028,5.93,5.3,5.9,,-1.08,False,
"Heaney, Andrew",571760,2023,Neutral,0.0363,4.88,4.35,4.4,,0.24,False,
"Matz, Steven",571927,2023,Neutral,0.0089,5.26,5.05,5.12,,-1.7,False,
"Mikolas, Miles",571945,2023,Neutral,0.0,5.08,5.18,5.94,,-1.4,False,
"Stroman, Marcus",573186,2023,Neutral,-0.0385,2.76,3.75,4.15,,1.71,False,
"Kikuchi, Yusei",579328,2023,Slight sell,-0.111,3.08,4.62,4.51,DECLINED,0.94,True,True
"Gausman, Kevin",592332,2023,Neutral,0.3691,3.32,2.1,2.44,,0.06,False,
"Gray, Jon",592351,2023,Slight sell,-0.1392,3.28,5.41,5.43,DECLINED,0.51,True,True
"Smyly, Drew",592767,2023,Neutral,0.1766,3.54,2.74,1.34,,1.77,False,
"Syndergaard, Noah",592789,2023,Neutral,0.262,6.32,4.22,4.32,,0.75,False,
"Walker, Taijuan",592836,2023,Neutral,0.0,4.68,5.02,3.98,,-1.09,False,
"Williams, Trevor",592866,2023,Slight sell,-0.1046,3.81,4.48,5.34,DECLINED,1.35,True,True
"Germán, Domingo",593334,2023,Neutral,0.0,4.5,5.1,4.82,,-0.17,False,
"Rodriguez, Eduardo",593958,2023,Sell high,-0.2117,1.78,3.23,2.06,DECLINED,2.15,True,True
"Gonzales, Marco",594835,2023,Neutral,0.0969,5.18,4.13,4.38,,0.0,False,
"Junis, Jakob",596001,2023,Neutral,0.0887,7.71,6.1,5.7,,-3.14,False,
"Gomber, Austin",596295,2023,Neutral,0.0695,7.57,6.1,6.63,,-2.86,False,
"Pivetta, Nick",601713,2023,Neutral,0.0238,5.47,4.8,5.61,,-2.08,False,
"Bassitt, Chris",605135,2023,Neutral,0.0,5.18,5.22,5.29,,-0.88,False,
"Clevinger, Mike",605182,2023,Neutral,0.0,4.6,5.08,5.02,,-2.02,False,
"Nola, Aaron",605400,2023,Neutral,0.0533,3.69,3.48,3.04,,1.08,False,
"Snell, Blake",605483,2023,Slight sell,-0.0765,5.3,7.49,7.78,DECLINED,-3.41,True,False
"Rea, Colin",607067,2023,Neutral,0.0,4.87,5.07,4.24,,0.12,False,
"Martinez, Nick",607259,2023,Sell high,-0.1753,2.38,4.47,3.6,DECLINED,2.73,True,True
"Freeland, Kyle",607536,2023,Neutral,0.0,5.67,5.77,4.44,,0.04,False,
"Lugo, Seth",607625,2023,Neutral,0.0129,3.58,3.28,4.54,,0.17,False,
"Giolito, Lucas",608337,2023,Neutral,0.3143,4.5,3.16,3.49,,-0.59,False,
"Wacha, Michael",608379,2023,Neutral,0.1224,6.12,4.18,5.99,,-4.91,False,
"Suter, Brent",608718,2023,Neutral,0.0406,2.3,2.97,1.08,,3.04,False,
"Quantrill, Cal",615698,2023,Neutral,0.0712,5.76,4.42,5.18,,1.32,False,
"Kaprielian, James",621076,2023,Neutral,0.2798,13.5,7.54,7.26,,-9.17,False,
"Eflin, Zach",621107,2023,Neutral,-0.0484,3.05,3.39,3.72,,0.75,False,
"Berríos, José",621244,2023,Neutral,0.3692,4.45,1.97,4.1,,-1.3,False,
