name,team,fpts,GP,R,HR,RBI,AVG,SB,year
Shohei Ohtani,LAD,795.0,159,134.0,54.0,130.0,0.31,59.0,2024
Aaron Judge,NYY,734.5,158,122.0,58.0,144.0,0.322,10.0,2024
Bobby Witt,KC,670.0,161,125.0,32.0,109.0,0.332,31.0,2024
Jose Ramirez,CLE,654.0,158,114.0,39.0,118.0,0.279,41.0,2024
Juan Soto,NYM,648.5,157,128.0,41.0,109.0,0.288,7.0,2024
Gunnar Henderson,BAL,586.5,159,118.0,37.0,92.0,0.281,21.0,2024
Vladimir Guerrero Jr.,TOR,567.0,159,98.0,30.0,103.0,0.323,2.0,2024
Francisco Lindor,NYM,565.5,152,107.0,33.0,91.0,0.273,29.0,2024
Jarren Duran,BOS,557.0,160,111.0,21.0,75.0,0.285,34.0,2024
Elly De La Cruz,CIN,556.0,160,105.0,25.0,76.0,0.259,67.0,2024
Yordan Alvarez,HOU,530.5,147,88.0,35.0,86.0,0.308,6.0,2024
Corbin Carroll,ARI,527.0,158,121.0,22.0,74.0,0.231,35.0,2024
Marcell Ozuna,PIT,525.0,162,96.0,39.0,104.0,0.302,1.0,2024
Willy Adames,SF,513.5,161,93.0,32.0,112.0,0.251,21.0,2024
Kyle Schwarber,PHI,511.5,150,110.0,38.0,104.0,0.248,5.0,2024
Ketel Marte,ARI,500.0,136,93.0,36.0,95.0,0.292,7.0,2024
Jurickson Profar,ATL,498.5,158,94.0,24.0,85.0,0.28,10.0,2024
Anthony Santander,TOR,498.5,155,91.0,44.0,102.0,0.235,2.0,2024
William Contreras,MIL,495.5,155,99.0,23.0,92.0,0.281,9.0,2024
Brent Rooker,ATH,495.5,145,82.0,39.0,112.0,0.293,11.0,2024
Freddie Freeman,LAD,482.0,147,81.0,22.0,89.0,0.282,9.0,2024
Bryce Harper,PHI,480.0,145,85.0,30.0,87.0,0.285,7.0,2024
Josh Naylor,SEA,471.5,152,84.0,31.0,108.0,0.243,6.0,2024
Jose Altuve,HOU,466.5,153,94.0,20.0,65.0,0.295,22.0,2024
Manny Machado,SD,466.0,152,77.0,29.0,105.0,0.275,11.0,2024
Teoscar Hernandez,LAD,466.0,154,84.0,33.0,99.0,0.272,12.0,2024
Pete Alonso,BAL,461.0,162,91.0,34.0,88.0,0.24,3.0,2024
Matt Chapman,SF,461.0,154,98.0,27.0,78.0,0.247,15.0,2024
Marcus Semien,NYM,456.5,159,101.0,23.0,74.0,0.237,8.0,2024
Spencer Steer,CIN,455.5,158,74.0,20.0,92.0,0.225,25.0,2024
Jackson Merrill,SD,452.5,156,77.0,24.0,90.0,0.292,16.0,2024
Ian Happ,CHC,452.0,153,89.0,25.0,86.0,0.243,13.0,2024
Brandon Nimmo,TEX,446.0,151,88.0,23.0,90.0,0.224,15.0,2024
Bryan Reynolds,PIT,446.0,156,73.0,24.0,88.0,0.275,10.0,2024
Matt Olson,ATL,445.0,162,78.0,29.0,98.0,0.247,,2024
Rafael Devers,SF,443.5,138,87.0,28.0,83.0,0.272,3.0,2024
Jazz Chisholm,NYY,443.0,147,74.0,24.0,73.0,0.256,40.0,2024
Mookie Betts,LAD,434.5,116,75.0,19.0,75.0,0.289,16.0,2024
Eugenio Suarez,CIN,432.0,158,90.0,30.0,101.0,0.256,2.0,2024
Nico Hoerner,CHC,430.0,151,86.0,7.0,48.0,0.273,31.0,2024
Alex Bregman,CHC,428.0,145,79.0,26.0,75.0,0.26,3.0,2024
Brenton Doyle,COL,423.5,149,82.0,23.0,72.0,0.26,30.0,2024
Jackson Chourio,MIL,422.5,148,80.0,21.0,79.0,0.275,22.0,2024
Zachary Neto,LAA,422.0,155,70.0,23.0,77.0,0.249,30.0,2024
Salvador Perez,KC,421.5,158,58.0,27.0,104.0,0.271,,2024
C.J. Abrams,WAS,420.0,138,79.0,20.0,65.0,0.246,31.0,2024
Nick Castellanos,SD,418.5,162,80.0,23.0,86.0,0.254,6.0,2024
Alec Bohm,PHI,418.0,143,62.0,15.0,97.0,0.28,5.0,2024
Brice Turang,MIL,417.5,155,72.0,7.0,57.0,0.254,50.0,2024
Luis Arraez,SF,411.5,150,83.0,4.0,46.0,0.314,9.0,2024
Cal Raleigh,SEA,410.0,153,73.0,34.0,100.0,0.22,6.0,2024
Seiya Suzuki,CHC,409.0,132,74.0,21.0,73.0,0.283,16.0,2024
Brendan Donovan,SEA,407.5,153,65.0,14.0,73.0,0.278,5.0,2024
Jonathan India,KC,407.5,151,84.0,15.0,58.0,0.248,13.0,2024
Trea Turner,PHI,405.0,121,88.0,21.0,62.0,0.295,19.0,2024
Jeremy Pena,HOU,402.5,157,78.0,15.0,70.0,0.266,20.0,2024
Ezequiel Tovar,COL,402.0,157,83.0,26.0,78.0,0.269,6.0,2024
Jake Cronenworth,SD,401.0,155,72.0,17.0,83.0,0.241,5.0,2024
Anthony Volpe,NYY,399.0,160,90.0,12.0,60.0,0.243,28.0,2024
Isaac Paredes,HOU,398.5,153,64.0,19.0,80.0,0.238,1.0,2024
Riley Greene,DET,398.0,137,82.0,24.0,74.0,0.262,4.0,2024
Oneil Cruz,PIT,397.5,146,72.0,21.0,76.0,0.259,22.0,2024
Maikel Garcia,KC,395.5,157,84.0,7.0,58.0,0.231,37.0,2024
Alec Burleson,STL,394.0,152,71.0,21.0,78.0,0.269,9.0,2024
Corey Seager,TEX,394.0,123,68.0,30.0,74.0,0.278,1.0,2024
Taylor Ward,BAL,393.5,156,73.0,25.0,75.0,0.246,6.0,2024
Vinnie Pasquantino,KC,392.5,131,64.0,19.0,97.0,0.262,1.0,2024
J.J. Bleday,CIN,391.5,159,74.0,20.0,60.0,0.243,2.0,2024
Randy Arozarena,SEA,390.5,154,77.0,20.0,60.0,0.219,20.0,2024
Masyn Winn,STL,390.5,150,85.0,15.0,57.0,0.267,11.0,2024
Cody Bellinger,NYY,389.5,130,72.0,18.0,78.0,0.266,9.0,2024
Yainer Diaz,HOU,388.5,148,70.0,16.0,84.0,0.299,2.0,2024
Wyatt Langford,TEX,387.5,134,74.0,16.0,74.0,0.253,19.0,2024
Julio Rodriguez,SEA,385.0,143,76.0,20.0,68.0,0.273,24.0,2024
Carlos Santana,ARI,382.5,150,63.0,23.0,71.0,0.238,4.0,2024
Steven Kwan,CLE,382.5,122,83.0,14.0,44.0,0.292,12.0,2024
Adley Rutschman,BAL,380.5,148,68.0,19.0,79.0,0.25,1.0,2024
Christian Walker,HOU,380.5,130,72.0,26.0,84.0,0.251,2.0,2024
Willi Castro,COL,380.0,158,89.0,12.0,60.0,0.247,14.0,2024
Dansby Swanson,CHC,375.0,149,82.0,16.0,66.0,0.242,19.0,2024
Nolan Arenado,ARI,374.0,152,70.0,16.0,71.0,0.272,2.0,2024
Luis Garcia,WAS,373.0,140,58.0,18.0,70.0,0.282,22.0,2024
Bryson Stott,PHI,372.5,148,65.0,11.0,57.0,0.245,32.0,2024
Andres Gimenez,TOR,372.5,152,64.0,9.0,63.0,0.252,30.0,2024
Jorge Soler,LAA,371.5,142,84.0,21.0,64.0,0.241,1.0,2024
George Springer,TOR,371.5,145,74.0,19.0,56.0,0.22,16.0,2024
Gleyber Torres,DET,370.0,154,80.0,15.0,63.0,0.257,4.0,2024
Paul Goldschmidt,NYY,367.5,154,70.0,22.0,65.0,0.245,11.0,2024
Lourdes Gurriel,ARI,367.5,133,72.0,18.0,75.0,0.279,7.0,2024
Will Smith,LAD,366.5,128,77.0,20.0,75.0,0.248,1.0,2024
Adolis Garcia,PHI,364.5,154,68.0,25.0,85.0,0.224,11.0,2024
Yandy Diaz,TB,359.5,145,55.0,14.0,65.0,0.281,,2024
Josh H. Smith,TEX,358.5,149,67.0,13.0,62.0,0.258,11.0,2024
Cedric Mullins,TB,358.0,147,69.0,18.0,54.0,0.234,32.0,2024
Colton Cowser,BAL,356.0,153,77.0,24.0,69.0,0.242,9.0,2024
Jake Burger,TEX,356.0,137,68.0,29.0,76.0,0.25,1.0,2024
Matt Vierling,DET,350.5,144,80.0,16.0,57.0,0.257,6.0,2024
Lane Thomas,KC,349.5,130,65.0,15.0,63.0,0.237,32.0,2024
Jake McCarthy,COL,349.0,142,66.0,8.0,56.0,0.285,25.0,2024
Nolan Schanuel,LAA,348.5,147,62.0,13.0,54.0,0.25,10.0,2024
Josh Bell,MIN,347.0,145,62.0,19.0,71.0,0.249,,2024
Michael Busch,CHC,345.0,152,73.0,21.0,65.0,0.248,2.0,2024
Nate Lowe,CIN,342.5,140,62.0,16.0,69.0,0.265,2.0,2024
Alex Verdugo,SD,340.5,149,74.0,13.0,61.0,0.233,2.0,2024
Ryan McMahon,NYY,339.5,153,68.0,20.0,65.0,0.242,4.0,2024
Lawrence Butler,ATH,339.0,125,63.0,22.0,57.0,0.262,18.0,2024
Tyler Stephenson,CIN,337.5,138,69.0,19.0,66.0,0.258,1.0,2024
Andrew Vaughn,MIL,336.0,149,55.0,19.0,70.0,0.246,2.0,2024
Shea Langeliers,ATH,334.5,137,58.0,29.0,80.0,0.224,4.0,2024
Tyler O'Neill,BAL,333.5,113,74.0,31.0,61.0,0.241,4.0,2024
Jesus Sanchez,TOR,333.0,149,60.0,18.0,64.0,0.252,16.0,2024
Heliot Ramos,SF,331.5,121,54.0,22.0,72.0,0.269,6.0,2024
Ceddanne Rafaela,BOS,331.5,152,70.0,15.0,75.0,0.246,19.0,2024
Ryan O'Hearn,PIT,326.5,142,60.0,15.0,59.0,0.264,3.0,2024
Rhys Hoskins,CLE,320.5,131,59.0,26.0,82.0,0.214,3.0,2024
Joseph Ortiz,MIL,319.5,142,58.0,11.0,60.0,0.239,11.0,2024
Daulton Varsho,TOR,319.5,136,73.0,18.0,58.0,0.214,10.0,2024
Kyle Tucker,LAD,319.0,78,56.0,23.0,49.0,0.289,11.0,2024
Fernando Tatis Jr.,SD,319.0,102,64.0,21.0,49.0,0.276,11.0,2024
Ha-seong Kim,ATL,316.5,121,60.0,11.0,47.0,0.233,22.0,2024
Jacob Young,WAS,313.0,150,75.0,3.0,36.0,0.256,33.0,2024
Justin Turner,CHC,312.5,139,59.0,11.0,55.0,0.259,,2024
Mark Vientos,NYM,310.5,111,58.0,27.0,71.0,0.266,,2024
Jordan Westburg,BAL,309.5,107,57.0,18.0,63.0,0.264,6.0,2024
Bryan De La Cruz,PHI,308.0,149,61.0,21.0,68.0,0.233,5.0,2024
Colt Keith,DET,307.0,148,54.0,13.0,61.0,0.26,7.0,2024
Michael Conforto,CHC,306.0,130,56.0,20.0,66.0,0.237,,2024
Ryan Jeffers,MIN,303.0,122,56.0,21.0,64.0,0.226,3.0,2024
Luke Raley,SEA,302.5,137,58.0,22.0,58.0,0.243,11.0,2024
Christopher Morel,MIA,301.5,152,56.0,21.0,60.0,0.196,8.0,2024
Andrew Benintendi,CHW,301.0,135,50.0,20.0,64.0,0.229,3.0,2024
Brandon Marsh,PHI,300.0,135,55.0,16.0,60.0,0.249,19.0,2024
Michael Toglia,COL,299.5,116,62.0,25.0,55.0,0.218,10.0,2024
Austin Riley,ATL,298.0,110,63.0,19.0,56.0,0.256,,2024
Leody Taveras,BAL,298.0,151,59.0,12.0,44.0,0.229,23.0,2024
Byron Buxton,MIN,297.5,102,62.0,18.0,56.0,0.279,7.0,2024
Brendan Rodgers,BOS,296.0,135,67.0,13.0,54.0,0.267,1.0,2024
Ryan Mountcastle,BAL,295.0,124,54.0,13.0,63.0,0.271,3.0,2024
Sal Frelick,MIL,294.0,145,66.0,2.0,32.0,0.259,18.0,2024
Dylan Moore,PHI,293.5,135,53.0,10.0,42.0,0.201,32.0,2024
Wilyer Abreu,BOS,293.5,132,59.0,15.0,58.0,0.253,8.0,2024
Jose Caballero,NYY,291.5,139,53.0,9.0,44.0,0.227,44.0,2024
Ernie Clement,TOR,290.5,139,48.0,12.0,51.0,0.263,12.0,2024
Mike Yastrzemski,ATL,290.0,140,60.0,18.0,57.0,0.231,3.0,2024
Giancarlo Stanton,NYY,287.5,114,49.0,27.0,72.0,0.233,,2024
Brandon Lowe,PIT,287.0,107,56.0,21.0,58.0,0.244,5.0,2024
Carlos Correa,HOU,286.5,86,55.0,14.0,54.0,0.31,,2024
Connor Wong,BOS,285.0,126,54.0,13.0,52.0,0.28,8.0,2024
Zack Gelof,ATH,284.0,138,60.0,17.0,49.0,0.211,25.0,2024
Michael Harris,ATL,284.0,110,58.0,16.0,48.0,0.264,10.0,2024
Jake Meyers,HOU,283.5,148,51.0,13.0,61.0,0.219,11.0,2024
Jeff McNeil,ATH,283.0,129,57.0,12.0,44.0,0.238,5.0,2024
Logan O'Hoppe,LAA,280.5,136,64.0,20.0,56.0,0.244,2.0,2024
Ozzie Albies,ATL,280.5,99,52.0,10.0,53.0,0.251,8.0,2024
Isiah Kiner-Falefa,BOS,278.0,133,53.0,8.0,43.0,0.269,11.0,2024
Jo Adell,LAA,278.0,130,54.0,20.0,62.0,0.207,15.0,2024
Gavin Lux,TB,276.0,139,59.0,10.0,50.0,0.251,5.0,2024
Christian Yelich,MIL,276.0,73,44.0,11.0,42.0,0.315,21.0,2024
Orlando Arcia,MIN,274.0,157,50.0,17.0,46.0,0.218,2.0,2024
Trevor Larnach,MIN,270.5,112,59.0,15.0,52.0,0.259,4.0,2024
Xander Bogaerts,SD,269.5,111,50.0,11.0,44.0,0.264,13.0,2024
Ty France,SD,267.0,140,46.0,13.0,51.0,0.234,1.0,2024
Jeimer Candelario,LAA,267.0,112,47.0,20.0,56.0,0.225,4.0,2024
Keibert Ruiz,WAS,267.0,127,46.0,13.0,57.0,0.229,3.0,2024
Harrison Bader,SF,265.5,143,57.0,12.0,51.0,0.236,17.0,2024
Pete Crow-Armstrong,CHC,265.0,123,46.0,10.0,47.0,0.237,27.0,2024
Otto Lopez,MIA,264.5,117,49.0,6.0,39.0,0.27,20.0,2024
Jose Miranda,MIN,263.0,121,44.0,9.0,49.0,0.284,2.0,2024
David Fry,CLE,261.0,122,44.0,14.0,51.0,0.263,4.0,2024
Paul DeJong,NYY,256.0,139,54.0,24.0,56.0,0.227,2.0,2024
Blake Perkins,MIL,256.0,121,54.0,6.0,43.0,0.24,23.0,2024
Andy Pages,LAD,256.0,116,65.0,13.0,46.0,0.248,1.0,2024
Mark Canha,TEX,254.0,125,46.0,7.0,42.0,0.242,7.0,2024
Victor Robles,SEA,253.5,91,44.0,4.0,28.0,0.307,34.0,2024
Lars Nootbaar,STL,253.5,109,39.0,12.0,45.0,0.244,7.0,2024
Kyle Isbel,KC,253.0,136,62.0,8.0,42.0,0.229,11.0,2024
Geraldo Perdomo,ARI,251.0,98,61.0,3.0,37.0,0.273,9.0,2024
Austin Wells,NYY,245.5,115,42.0,13.0,55.0,0.229,1.0,2024
Tommy Pham,NYM,245.0,116,49.0,9.0,39.0,0.248,7.0,2024
Tyler Fitzgerald,TOR,245.0,96,53.0,15.0,34.0,0.28,17.0,2024
Jonah Heim,ATL,244.0,131,45.0,13.0,59.0,0.22,1.0,2024
Hunter Renfroe,KC,244.0,120,44.0,15.0,52.0,0.229,1.0,2024
J.T. Realmuto,PHI,243.0,99,50.0,14.0,47.0,0.266,2.0,2024
Xavier Edwards,MIA,242.0,70,39.0,1.0,26.0,0.328,31.0,2024
Spencer Horwitz,PIT,242.0,97,46.0,12.0,40.0,0.265,,2024
Willson Contreras,BOS,241.0,84,48.0,15.0,36.0,0.262,4.0,2024
MJ Melendez,NYM,238.5,135,44.0,17.0,44.0,0.206,4.0,2024
Wenceel Perez,DET,237.0,112,51.0,9.0,37.0,0.242,9.0,2024
Gavin Sheets,SD,237.0,139,35.0,10.0,45.0,0.233,2.0,2024
Starling Marte,KC,236.5,94,46.0,7.0,40.0,0.269,16.0,2024
David Hamilton,MIL,236.0,98,47.0,8.0,28.0,0.248,33.0,2024
Kerry Carpenter,DET,235.5,87,37.0,18.0,57.0,0.284,,2024
J.P. Crawford,SEA,235.0,105,55.0,9.0,37.0,0.202,5.0,2024
Rowdy Tellez,ATL,234.5,132,38.0,13.0,56.0,0.243,1.0,2024
Jarred Kelenic,CHW,234.5,131,49.0,15.0,45.0,0.231,7.0,2024
Jake Fraley,TB,234.0,116,44.0,5.0,26.0,0.277,20.0,2024
Max Schuemann,NYY,232.5,133,55.0,7.0,34.0,0.22,14.0,2024
TJ Friedl,CIN,232.0,85,35.0,13.0,55.0,0.226,9.0,2024
Josh Rojas,CHW,232.0,143,48.0,8.0,31.0,0.225,10.0,2024
Mauricio Dubon,ATL,231.5,137,45.0,4.0,47.0,0.269,3.0,2024
Michael Massey,KC,231.0,100,45.0,14.0,45.0,0.259,1.0,2024
Luis Robert,NYM,230.5,100,47.0,14.0,35.0,0.224,23.0,2024
Gio Urshela,MIN,230.0,128,34.0,9.0,52.0,0.25,,2024
LaMonte Wade,CHW,229.0,117,45.0,8.0,34.0,0.26,2.0,2024
Joshua Lowe,LAA,228.5,106,37.0,10.0,34.0,0.241,25.0,2024
Luis Rengifo,MIL,228.0,78,41.0,6.0,30.0,0.3,24.0,2024
Brayan Rocchio,CLE,228.0,143,50.0,8.0,36.0,0.206,10.0,2024
Nick Gonzales,PIT,227.0,94,42.0,7.0,49.0,0.27,5.0,2024
Miguel Rojas,LAD,226.0,103,41.0,6.0,36.0,0.283,8.0,2024
Max Muncy,LAD,225.5,73,47.0,15.0,48.0,0.232,1.0,2024
