Rank,Player Name,Team,Bye
1,Mason Miller,SD,
2,Shohei Ohtani,LAD,
2,Cade Smith,CLE,
2,Paul Skenes,PIT,
3,Jhoan Durán,PHI,
3,Cristopher Sánchez,PHI,
4,Aroldis Chapman,BOS,
4,Jacob Degrom,TEX,
5,Andrés Muñoz,SEA,
5,Chris Sale,ATL,
6,David Bednar,NYY,
6,Zack Wheeler,PHI,
7,Jesús Luzardo,PHI,
7,Devin Williams,NYM,
8,Bryan Woo,SEA,
9,Garrett Crochet,BOS,
10,Tarik Skubal,DET,
10,Raisel Iglesias,ATL,
11,Max Fried,NYY,
12,Dylan Cease,TOR,
13,Logan Gilbert,SEA,
14,Yoshinobu Yamamoto,LAD,
14,Bryan Baker,TB,
15,George Kirby,SEA,
16,Abner Uribe,MIL,
16,Logan Webb,SF,
17,Riley O'brien,STL,
17,Joe Ryan,MIN,
18,Shota Imanaga,CHC,
18,Pete Fairbanks,MIA,
19,Nathan Eovaldi,TEX,
20,Drew Rasmussen,TB,
21,Nolan Mclean,NYM,
21,Louis Varland,TOR,
22,Jeff Hoffman,TOR,
22,Kevin Gausman,TOR,
23,Shane Mcclanahan,TB,
24,Ryan Helsley,BAL,
24,Freddy Peralta,NYM,
25,Framber Valdez,DET,
26,Jacob Misiorowski,MIL,
27,Kenley Jansen,DET,
28,Adrián Morejón,SD,
28,Cole Ragans,KC,
29,Tyler Glasnow,LAD,
30,Hunter Brown,HOU,
31,Trevor Megill,MIL,
31,Ranger Suarez,BOS,
32,Spencer Strider,ATL,
33,Gavin Williams,CLE,
34,Sonny Gray,BOS,
34,Tanner Scott,LAD,
35,Alex Vesia,LAD,
35,Mackenzie Gore,TEX,
36,Tanner Bibee,CLE,
36,Paul Sewald,AZ,
37,Dylan Lee,ATL,
37,Chase Burns,CIN,
39,Emmet Sheehan,LAD,
39,Seranthony Domínguez,CWS,
40,Aaron Nola,PHI,
40,Garrett Whitlock,BOS,
41,José Soriano,LAA,
42,Robert Suarez,ATL,
42,Cam Schlittler,NYY,
43,Kyle Bradish,BAL,
43,Gregory Soto,PIT,
44,Luis Castillo,SEA,
44,Lucas Erceg,KC,
45,Griffin Jax,TB,
45,Jeremiah Estrada,SD,
48,Grant Taylor,CWS,
49,Parker Messick,CLE,
50,Kris Bubic,KC,
53,Aaron Ashby,MIL,
53,Braxton Ashcraft,PIT,
54,Bryan Abreu,HOU,
54,Eury Pérez,MIA,
56,Matt Strahm,KC,
56,Zac Gallen,AZ,
57,Bryan King,HOU,
57,Reid Detmers,LAA,
58,Edward Cabrera,CHC,
59,Sandy Alcántara,MIA,
59,Matt Brash,SEA,
60,Robbie Ray,SF,
60,Luke Weaver,NYM,
61,Jack Flaherty,DET,
61,José Alvarado,PHI,
62,Landen Roupp,SF,
63,Will Vest,DET,
63,Trey Yesavage,TOR,
64,Brandon Woodruff,MIL,
65,Casey Mize,DET,
65,Fernando Cruz,NYY,
66,Dennis Santana,PIT,
66,Will Warren,NYY,
67,Ben Brown,CHC,
67,Tyler Rogers,TOR,
68,Emilio Pagán,CIN,
68,Bailey Ober,MIN,
69,Eduard Bazardo,SEA,
69,Clay Holmes,NYM,
70,Jack Leiter,TEX,
72,Camilo Doval,NYY,
72,Max Meyer,MIA,
74,Michael Soroka,AZ,
74,Graham Ashcraft,CIN,
75,Trevor Rogers,BAL,
76,Kevin Kelly,TB,
76,Logan Henderson,MIL,
78,Erik Sabrowski,CLE,
78,Michael Mcgreevy,STL,
79,Jason Adam,SD,
79,Ryan Weathers,NYY,
80,Nick Martínez,TB,
81,Phil Maton,CHC,
81,Taj Bradley,MIN,
82,Clayton Beeter,WSH,
82,Shane Baz,BAL,
83,Blake Treinen,LAD,
84,Kevin Ginkel,AZ,
84,Kyle Harrison,MIL,
85,Jojo Romero,STL,
85,Michael Wacha,KC,
86,Foster Griffin,WSH,
86,Orion Kerkering,PHI,
87,Joey Cantillo,CLE,
88,Erik Miller,SF,
88,Mike Burrows,HOU,
89,Ryne Nelson,AZ,
90,Braydon Fisher,TOR,
90,Sean Manaea,NYM,
91,Brooks Raley,NYM,
91,Mitch Keller,PIT,
92,Andrew Abbott,CIN,
93,Merrill Kelly,AZ,
93,Drew Anderson,DET,
94,Jameson Taillon,CHC,
94,Gabe Speier,SEA,
95,Dustin May,STL,
95,Yennier Cano,BAL,
96,Connelly Early,BOS,
97,Tyler Mahle,SF,
98,Payton Tolle,BOS,
99,Ryan Walker,SF,
99,Steven Matz,TB,
100,Reynaldo López,ATL,
101,Davis Martin,CWS,
101,Kyle Finnegan,DET,
102,Mason Fluharty,TOR,
102,Kumar Rocker,TEX,
103,Jeffrey Springs,ATH,
103,Mason Montgomery,PIT,
104,Ryan Zeferjahn,LAA,
104,David Peterson,NYM,
105,Anthony Bender,MIA,
106,Jack Perkins,ATH,
107,Carmen Mlodzinski,PIT,
108,Jacob Latz,TEX,
108,Jakob Junis,TEX,
109,Seth Lugo,KC,
110,Emerson Hancock,SEA,
111,Ian Seymour,TB,
112,Brad Keller,PHI,
113,Cade Cavalli,WSH,
113,Hunter Gaddis,CLE,
114,Brock Burke,CIN,
114,Chad Patrick,MIL,
115,Brandon Pfaadt,AZ,
116,Noah Cameron,KC,
118,Janson Junk,MIA,
118,Brent Headrick,NYY,
119,Connor Prielipp,MIN,
120,Caleb Thielbar,CHC,
120,Kodai Senga,NYM,
121,Dean Kremer,BAL,
121,Tommy Nance,TOR,
122,Bryce Elder,ATL,
123,Rico Garcia,BAL,
124,Colin Rea,CHC,
126,Jonathan Loáisiga,AZ,
126,Eduardo Rodríguez,AZ,
127,Kyle Hurt,LAD,
127,Brady Singer,CIN,
128,Bubba Chandler,PIT,
129,Robert Garcia,TEX,
129,Matthew Liberatore,STL,
130,Keaton Winn,SF,
131,Christian Scott,NYM,
131,Shawn Armstrong,CLE,
132,Spencer Arrighetti,HOU,
132,Victor Vodnik,COL,
133,Luis Severino,ATH,
134,Chris Bassitt,BAL,
134,Steven Okert,HOU,
135,Justin Wrobleski,LAD,
135,Tyler Kinley,ATL,
136,Slade Cecconi,CLE,
136,Bryan Hudson,CWS,
137,Griffin Canning,SD,
137,Joel Kuhnel,ATH,
138,Yusei Kikuchi,LAA,
139,Cole Sands,MIN,
139,Andrew Nardi,MIA,
140,Max Scherzer,TOR,
141,Grant Wolfram,BAL,
141,Joe Boyle,TB,
142,Grant Holmes,ATL,
144,Tim Herrin,CLE,
144,Tatsuya Imai,HOU,
145,Tanner Banks,PHI,
145,Brayan Bello,BOS,
146,Ryne Stanek,STL,
147,Nick Pivetta,SD,
147,Ryan Thompson,AZ,
148,Tyler Holton,DET,
148,Calvin Faucher,MIA,
149,Caleb Kilian,SF,
149,Pierce Johnson,CIN,
150,Sean Burke,CWS,
150,Mason Englert,TB,
151,Cole Sulser,TB,
152,Bradgley Rodriguez,SD,
152,Brandon Sproat,MIL,
153,Cooper Criswell,SEA,
153,Aaron Civale,ATH,
153,Luis García,NYM,
154,Roki Sasaki,LAD,
155,Tobias Myers,NYM,
156,Anthony Nunez,BAL,
157,José Suarez,ATL,
158,Brant Hurter,DET,
158,Justin Sterner,ATH,
159,Jack Dreyer,LAD,
159,Grant Anderson,MIL,
160,Sean Newcomb,CWS,
160,Evan Sisk,PIT,
161,Jalen Beeks,TEX,
162,Tim Mayza,PHI,
162,Kyle Leahy,STL,
163,Brad Lord,WSH,
165,Andrew Painter,PHI,
165,Aaron Bummer,ATL,
166,Randy Vásquez,SD,
166,Juan Morillo,AZ,
167,Andre Pallante,STL,
167,Jonathan Bowlan,PHI,
168,Colin Holderman,CLE,
169,Shane Drohan,MIL,
170,Tony Santillan,CIN,
171,Tyler Alexander,TEX,
172,Shane Smith,CWS,
173,Jacob Lopez,ATH,
173,Jake Bird,NYY,
174,Jake Irvin,WSH,
175,Joe Mantiply,TOR,
176,Gus Varland,WSH,
177,Keider Montero,DET,
177,Enyel De los santos,HOU,
178,Zack Littell,WSH,
179,Matt Festa,CLE,
180,Burch Smith,DET,
180,Tyler Wells,BAL,
181,Jacob Webb,CHC,
181,Spencer Miles,TOR,
182,Will Klein,LAD,
182,Andrew Morris,MIN,
183,Kai-wei Teng,HOU,
184,Mitchell Parker,WSH,
185,Didier Fuentes,ATL,
186,Dietrich Enns,BAL,
188,Aj Blubaugh,HOU,
189,Huascar Brazobán,NYM,
189,Justin Topa,MIN,
190,Noah Schultz,CWS,
191,Eric Orze,MIN,
192,Adrian Houser,SF,
193,Dl Hall,MIL,
193,Taylor Rogers,MIN,
194,Greg Weissert,BOS,
195,Cade Povich,BAL,
196,Hogan Harris,ATH,
196,Trevor Mcdonald,SF,
197,Drew Pomeranz,LAA,
198,Jordan Leasure,CWS,
199,Brandon Young,BAL,
199,Austin Warren,NYM,
200,Eric Lauer,TOR,
200,Brenan Hanifee,DET,
201,Peter Lambert,HOU,
201,Taylor Clarke,AZ,
202,Danny Coulombe,BOS,
202,Jimmy Herget,COL,
203,Tyler Phillips,MIA,
204,John King,MIA,
205,Brent Suter,LAA,
205,Craig Kimbrel,NYM,
206,Mick Abel,MIN,
206,Matt Svanson,STL,
207,Jovani Morán,BOS,
208,Rhett Lowder,CIN,
209,Anthony Kay,CWS,
209,Chase Silseth,LAA,
210,Sam Bachman,LAA,
211,Ryan Yarbrough,NYY,
211,Tim Hill,NYY,
212,Pj Poulin,WSH,
215,Paul Blackburn,NYY,
216,Edgardo Henriquez,LAD,
216,Kyle Hart,SD,
217,Jordan Hicks,CWS,
218,Hunter Barco,PIT,
219,Hoby Milner,CHC,
219,Zack Kelly,BOS,
220,Nick Mears,KC,
220,Yoendrys Gómez,TB,
222,Walker Buehler,SD,
222,Lake Bachar,MIA,
223,Hunter Bigge,TB,
223,Simeon Woods richardson,MIN,
224,Ryan Borucki,SF,
226,Jr Ritchie,ATL,
227,Peyton Gray,TEX,
228,Patrick Corbin,TOR,
228,Richard Lovelady,WSH,
229,Miles Mikolas,WSH,
229,Wandy Peralta,SD,
231,Scott Barlow,ATH,
232,Michael Petersen,MIA,
233,David Morgan,SD,
233,Cristian Javier,HOU,
235,Yohan Ramírez,PIT,
235,Mitch Farris,LAA,
236,Cole Henry,WSH,
236,Jesse Scholtens,TB,
237,Luis Medina,ATH,
238,Javier Assad,CHC,
239,Elmer Rodriguez,NYY,
241,Jake Woodford,MIL,
243,Martín Pérez,ATL,
243,Isaac Mattson,PIT,
244,John Schreiber,KC,
246,Ryan Watson,BOS,
248,Cal Quantrill,TEX,
248,Justin Lawrence,PIT,
252,Ron Marinaccio,SD,
252,Blade Tidwell,SF,
255,Matt Waldron,SD,
257,Matt Gage,SF,
258,George Soriano,STL,
259,Luinder Avila,KC,
259,Jake Bennett,BOS,
260,Sam Moll,CIN,
262,Juan Mejia,COL,
264,Cole Winn,TEX,
265,Brennan Bernardino,COL,
266,Chase Dollander,COL,
266,Paxton Schultz,WSH,
267,Cody Bolton,HOU,
275,Gordon Graceffo,STL,
276,Luis Gil,NYY,
277,Chase Shugart,PHI,
277,Colton Gordon,HOU,
278,Ryan Weiss,HOU,
279,Kody Funderburk,MIN,
282,Chris Paddack,MIA,
284,Peyton Pallette,CLE,
285,Alex Lange,KC,
287,Anthony Banda,MIN,
290,Enmanuel De jesus,DET,
292,Jaden Hill,COL,
293,Casey Legumina,SEA,
297,Andrew Hoffmann,AZ,
298,Eli Morgan,KC,
299,Kyle Freeland,COL,
301,Elvis Alvarado,ATH,
302,Ryan Rolison,CHC,
304,Tanner Gordon,COL,
310,Justin Bruihl,STL,
314,Tyler Samaniego,BOS,
315,Ty Madden,DET,
319,Zach Pop,PHI,
322,Steven Cruz,KC,
326,Luis Morales,ATH,
326,Gavin Collyer,TEX,
327,Brandon Williamson,CIN,
330,Jt Brubaker,SF,
334,Germán Márquez,SD,
338,Jose Franco,CIN,
340,Erick Fedde,CWS,
341,Kyle Backhus,PHI,
355,Osvaldo Bido,CWS,
370,Ken Waldichuk,WSH,
373,Connor Phillips,CIN,
377,Jordan Romano,LAA,
379,Ryan Feltner,COL,
380,Jack Anderson,BOS,
385,Antonio Senzatela,COL,
389,Riley Martin,CHC,
391,Taijuan Walker,PHI,
392,Jack Kochanowicz,LAA,
394,Valente Bellozo,COL,
395,Michael Lorenzen,COL,
396,Walbert Urena,LAA,
397,Tomoyuki Sugano,COL,
397,Connor Brogdon,CLE,
398,Jose Quintana,COL,
400,Cole Wilcox,SEA,
403,Cameron Foster,BAL,
454,Connor Seabold,DET,
456,Zach Agnos,COL,
457,Andre Granillo,WSH,
459,Shaun Anderson,LAA,
467,Jared Shuster,STL,
471,Christian Roa,HOU,
475,Kyle Nicolas,CIN,
